datetime,voltaje,corriente,potencia,frecuencia,energia,fp,ESP32_temp,WORKSTATION_CPU,WORKSTATION_CPU_POWER,WORKSTATION_CPU_TEMP,WORKSTATION_GPU,WORKSTATION_GPU_POWER,WORKSTATION_GPU_TEMP,WORKSTATION_RAM,WORKSTATION_RAM_POWER,temperature(℃),humidity(%),wind_speed(m/s)
2021-06-11 04:00:00,119.91101,1.11339,121.45248,59.9616,85.02547,0.9095,33.86017,9.35632,40.31628,36.11865,0.00354,35.0,14.4705,30.79099,12.3505,20.8,89,6.8
2021-06-11 05:00:00,119.92217,1.09431,119.05867,59.96363,85.14587,0.90743,33.83274,7.95374,40.31753,34.64216,0.00472,35.0,14.46546,30.82366,12.06869,20.6,89,5.4
2021-06-11 06:00:00,119.9295,1.09266,118.86206,59.96888,85.26494,0.90727,33.783,7.9947,40.25964,34.64246,0.00531,34.99734,14.46073,30.85641,11.88249,20.5,89,4.7
2021-06-11 07:00:00,119.90812,1.11074,121.10939,59.96451,85.38478,0.90931,31.50833,9.39491,40.19446,36.2238,0.0059,33.03248,14.40072,30.86136,12.33707,21.0,86,5.2
2021-06-11 08:00:00,119.90898,1.08859,118.36903,59.96525,85.50468,0.90702,29.74961,7.99819,39.9352,34.97579,0.00384,29.9941,14.41552,30.90135,12.48672,22.0,82,1.5
2021-06-11 09:00:00,119.90599,1.0912,118.67916,59.96962,85.62325,0.90711,29.96456,7.99831,39.50444,35.32536,0.00531,29.79923,14.40131,30.92484,12.85027,23.5,78,0.8
2021-06-11 10:00:00,119.90078,1.10178,119.95651,59.95641,85.71309,0.90825,31.88617,8.7884,39.32733,35.72868,0.00182,32.74164,14.4525,30.95287,12.89156,25.2,70,2.7
2021-06-11 11:00:00,119.90558,1.11296,121.62214,59.96507,85.86445,0.91148,32.32031,9.15409,39.3416,33.94154,0.53646,34.0809,14.5216,32.29327,10.88833,26.6,65,1.9
2021-06-11 12:00:00,119.90874,1.11028,121.35065,59.96777,85.98606,0.91165,31.88239,8.47075,39.31118,33.31405,0.00354,33.00089,14.35783,32.85773,10.17695,27.8,61,3.8
2021-06-11 13:00:00,119.91199,1.11084,121.38978,59.9656,86.10767,0.91157,33.17591,8.23394,39.28207,33.32743,0.00502,33.79333,14.37236,32.8981,10.49618,28.3,59,6.6
2021-06-11 14:00:00,119.95029,1.01978,113.20216,59.96416,86.2202,0.92888,33.35188,9.15863,39.01014,33.86233,0.53882,34.74443,14.57123,33.3088,10.30994,28.7,57,8.4
2021-06-11 15:00:00,120.03797,0.83128,96.08045,59.9708,86.32306,0.96276,33.26025,10.84561,40.70801,35.47623,0.84204,35.0059,14.52824,33.90494,11.20036,29.7,53,6.3
2021-06-11 16:00:00,120.05123,0.80503,92.83505,59.96616,86.41713,0.96103,33.28164,9.14198,41.12615,33.0059,0.28491,35.0,14.56975,33.82644,10.10534,29.0,55,9.1
2021-06-11 17:00:00,120.04355,0.82338,95.153,59.96619,86.51122,0.96249,33.30248,10.65021,41.06864,34.54709,0.29229,35.01063,14.61304,33.90953,10.44097,26.6,67,14.9
2021-06-11 18:00:00,120.05533,0.80524,92.86983,59.96236,86.60534,0.96097,33.30037,9.1839,41.12477,32.92353,0.29554,35.0,14.5659,33.86918,9.84294,25.9,71,11.7
2021-06-11 19:00:00,120.06231,0.80622,93.01458,59.96857,86.69824,0.96105,33.52895,9.22284,41.01936,33.13312,0.30077,35.00945,14.55963,34.01127,10.31212,25.2,72,13.2
2021-06-11 20:00:00,120.06935,0.80362,92.70906,59.97192,86.79113,0.96094,33.57825,9.1596,40.92258,32.81813,0.30263,35.0,14.55658,34.05339,9.74955,23.8,75,14.3
2021-06-11 21:00:00,120.05831,0.80348,92.69088,59.96177,86.88399,0.96108,33.40063,9.15821,40.83726,32.79333,0.29318,35.0,14.55957,34.10568,9.75975,22.7,78,14.3
2021-06-11 22:00:00,120.05955,0.8057,92.95793,59.96835,86.97651,0.96093,33.35432,9.20267,40.76184,32.9938,0.29761,35.0,14.5614,34.13389,10.16789,22.0,81,13.3
2021-06-11 23:00:00,120.05713,0.80752,93.13431,59.96563,87.0699,0.96094,33.29859,9.16795,40.70413,33.42102,0.29525,35.0,14.56765,34.17018,10.86787,21.9,81,10.7
2021-06-12 00:00:00,120.04926,0.80549,92.90513,59.96956,87.18562,0.96072,33.17021,9.03039,40.62164,32.89556,0.29677,34.96551,14.53008,34.239,10.21355,21.7,82,9.4
2021-06-12 01:00:00,120.05394,0.80497,92.84951,59.96867,87.25556,0.96094,33.20923,9.21396,40.57074,33.13434,0.28875,34.84618,14.57596,34.22172,10.25495,21.4,83,7.9
2021-06-12 02:00:00,120.04585,0.8053,92.90062,59.9656,87.34845,0.961,33.18952,9.09327,40.51224,33.03602,0.27783,34.8134,14.55674,34.24141,10.44459,21.1,85,7.9
2021-06-12 03:00:00,120.03738,0.82731,95.60709,59.96519,87.44261,0.96275,33.07693,10.71049,40.50234,35.07824,0.29407,34.71302,14.54632,34.19212,11.451,21.0,86,10.2
2021-06-12 04:00:00,120.05208,0.80622,92.9863,59.96711,87.53705,0.961,33.0053,9.21027,40.51999,33.20224,0.28432,34.41069,14.5469,34.1158,10.43431,20.9,87,9.9
2021-06-12 05:00:00,120.05314,0.80355,92.69838,59.97115,87.62991,0.96105,32.82173,9.22072,40.47545,32.94449,0.28491,34.14556,14.54927,34.16448,10.00019,20.7,88,8.8
2021-06-12 06:00:00,120.04178,0.82254,95.08453,59.96791,87.72358,0.96257,32.7984,10.61568,40.45671,34.56126,0.292,34.07706,14.57532,34.15316,10.80815,20.6,89,8.4
2021-06-12 07:00:00,120.0479,0.80794,93.19091,59.96243,87.81804,0.96112,32.78543,9.2216,40.45331,33.49292,0.30697,34.02391,14.56125,34.12012,11.07862,20.5,88,9.3
2021-06-12 08:00:00,120.04895,0.80627,92.98787,59.96448,87.91118,0.96096,32.82248,9.23472,40.41141,33.29466,0.28521,34.11839,14.54121,34.23984,10.5389,21.9,81,8.4
2021-06-12 09:00:00,120.05341,0.80313,92.66321,59.96779,88.00397,0.96114,32.9705,9.17669,40.37728,32.75347,0.29141,34.64039,14.56655,34.28361,9.78124,23.5,74,7.1
2021-06-12 10:00:00,120.05397,0.8034,92.684,59.96593,88.09657,0.96096,33.0248,9.22922,40.35081,32.90965,0.28373,34.97992,14.55639,34.32034,10.23231,25.5,64,6.7
2021-06-12 11:00:00,120.04237,0.82457,95.30018,59.96761,88.19051,0.96265,33.23614,10.57114,40.37018,34.70918,0.28698,35.0,14.56783,34.36181,11.15442,26.3,63,5.7
2021-06-12 12:00:00,120.0544,0.80486,92.84038,59.96874,88.28483,0.96101,33.30025,9.16399,40.40526,32.95809,0.31228,35.00826,14.5976,34.39456,10.41022,27.4,61,3.8
2021-06-12 13:00:00,120.05078,0.8049,92.83171,59.9667,88.37744,0.96101,33.33445,9.13691,40.42557,32.76941,0.26218,35.37703,14.58368,34.49123,10.28205,28.4,57,5.4
2021-06-12 14:00:00,120.05332,0.80622,93.01769,59.96835,88.47049,0.96117,33.39022,9.18402,40.45048,32.82403,0.28344,35.87304,14.59335,34.54041,10.188,28.8,57,9.9
2021-06-12 15:00:00,120.04105,0.82158,94.88552,59.97039,88.57641,0.96205,33.45029,10.13463,40.51721,34.15299,0.27035,35.99457,14.57858,34.50213,10.56847,28.8,54,11.4
2021-06-12 16:00:00,120.04827,0.81078,93.55282,59.97112,88.65951,0.96136,33.51344,9.29324,40.56279,33.27045,0.32182,35.99882,14.57706,34.62278,10.47204,28.3,56,10.7
2021-06-12 17:00:00,120.05004,0.80962,93.40216,59.96684,88.75316,0.96129,33.66932,9.15856,40.59581,33.20224,0.2917,36.0,14.60105,34.63725,10.49544,26.1,67,16.2
2021-06-12 18:00:00,120.0575,0.80523,92.87341,59.96432,88.84636,0.96097,33.74601,9.19426,40.6246,32.79723,0.2807,35.99911,14.57627,34.7014,9.66774,25.6,69,14.7
2021-06-12 19:00:00,120.06344,0.80527,92.90951,59.97079,88.93908,0.96115,33.88133,9.21629,40.64043,32.7342,0.29622,36.0,14.57749,34.74719,9.6577,23.9,70,16.4
2021-06-12 20:00:00,120.06405,0.80642,93.04147,59.9691,89.03247,0.96107,33.82408,9.2046,40.65379,32.92119,0.28011,35.96133,14.56819,34.83281,9.71646,22.9,73,14.3
2021-06-12 21:00:00,120.05787,0.80785,93.17679,59.96921,89.12551,0.96102,33.67345,9.21878,40.66648,33.09802,0.30942,35.80425,14.59333,34.87767,10.30806,22.1,76,12.0
2021-06-12 22:00:00,120.05368,0.806,92.97691,59.96327,89.21831,0.96095,33.55728,9.13531,40.67,32.9442,0.30056,35.19959,14.57218,34.9261,9.93916,21.8,78,10.9
